CH.TI.2108	Vallemaggia District	Vallemaggia District	2658196
CH.SO.1110	Bezirk Thierstein	Bezirk Thierstein	2658380
CH.SG.1725	Wahlkreis Sarganserland	Wahlkreis Sarganserland	2658792
CH.VS.2309	Raron District	Raron District	2659097
CH.ZH.107	Bezirk Meilen	Bezirk Meilen	2659702
CH.VS.2307	Martigny District	Martigny District	2659752
CH.FR.1002	Glâne District	Glane District	2660598
CH.ZH.102	Bezirk Andelfingen	Bezirk Andelfingen	2661751
CH.SO.1101	Bezirk Gäu	Bezirk Gaeu	6458742
CH.AI.1600	Appenzell Inner Rhodes	Appenzell Inner Rhodes	6458743
CH.JU.2601	Delémont District	Delemont District	6458744
CH.VS.2312	Sion District	Sion District	6458745
CH.AG.1910	Bezirk Zofingen	Bezirk Zofingen	6458746
CH.GL.800	Glarus	Glarus	6458747
CH.BL.1305	Bezirk Waldenburg	Bezirk Waldenburg	6458748
CH.TI.2104	Locarno District	Locarno District	6458750
CH.ZH.109	Bezirk Uster	Bezirk Uster	6458751
CH.VS.2306	Leuk District	Leuk District	6458753
CH.FR.1001	Broye District	Broye District	6458754
CH.TI.2107	Riviera District	Riviera District	6458756
CH.ZH.111	Bezirk Dietikon	Bezirk Dietikon	6458760
CH.NW.700	Nidwalden	Nidwalden	6458762
CH.BS.1200	Basel-Stadt	Basel-Stadt	6458763
CH.VS.2304	Goms District	Goms District	6458766
CH.FR.1004	Sarine District	Sarine District	6458767
CH.VS.2303	Entremont District	Entremont District	6458768
CH.SH.1404	Bezirk Schleitheim	Bezirk Schleitheim	6458769
CH.SG.1721	Wahlkreis St. Gallen	Wahlkreis St. Gallen	6458770
CH.TI.2105	Lugano District	Lugano District	6458771
CH.AG.1905	Bezirk Kulm	Bezirk Kulm	6458772
CH.AG.1903	Bezirk Bremgarten	Bezirk Bremgarten	6458774
CH.SZ.506	Bezirk Schwyz	Bezirk Schwyz	6458775
CH.JU.2603	Porrentruy District	Porrentruy District	6458776
CH.SO.1109	Bezirk Solothurn	Bezirk Solothurn	6458779
CH.SZ.505	Bezirk March	Bezirk March	6458781
CH.GE.2500	Geneva	Geneva	6458783
CH.TI.2102	Blenio District	Blenio District	6458784
CH.AG.1911	Bezirk Zurzach	Bezirk Zurzach	6458788
CH.JU.2602	Franches-Montagnes District	Franches-Montagnes District	6458790
CH.SH.1405	Bezirk Stein	Bezirk Stein	6458794
CH.VS.2311	Sierre District	Sierre District	6458795
CH.FR.1003	Gruyère District	Gruyere District	6458796
CH.ZH.105	Bezirk Hinwil	Bezirk Hinwil	6458797
CH.ZH.112	Bezirk Zürich	Bezirk Zuerich	6458798
CH.UR.400	Uri	Uri	6458799
CH.AG.1907	Bezirk Lenzburg	Bezirk Lenzburg	6458806
CH.ZG.900	Zug	Zug	6458807
CH.ZH.110	Bezirk Winterthur	Bezirk Winterthur	6458808
CH.NE.2403	Le Locle District	Le Locle District	6458809
CH.SZ.502	Bezirk Gersau	Bezirk Gersau	6458810
CH.NE.2405	Val-de-Ruz District	Val-de-Ruz District	6458812
CH.AG.1902	Bezirk Baden	Bezirk Baden	6458813
CH.SH.1401	Bezirk Oberklettgau	Bezirk Oberklettgau	6458815
CH.OW.600	Obwalden	Obwalden	6458816
CH.ZH.101	Bezirk Affoltern	Bezirk Affoltern	6458818
CH.FR.1005	See District	See District	6458820
CH.VS.2301	Brig District	Brig District	6458821
CH.BL.1304	Bezirk Sissach	Bezirk Sissach	6458823
CH.NE.2401	Boudry District	Boudry District	6458825
CH.AG.1904	Bezirk Brugg	Bezirk Brugg	6458826
CH.SO.1107	Bezirk Lebern	Bezirk Lebern	6458829
CH.AR.1502	Bezirk Mittelland	Bezirk Mittelland	6458830
CH.NE.2402	La Chaux-de-Fonds District	La Chaux-de-Fonds District	6458831
CH.VS.2310	Saint-Maurice District	Saint-Maurice District	6458832
CH.BL.1302	Bezirk Laufen	Bezirk Laufen	6458833
CH.NE.2406	Val-de-Travers District	Val-de-Travers District	6458835
CH.SH.1406	Bezirk Unterklettgau	Bezirk Unterklettgau	6458836
CH.AR.1501	Bezirk Hinterland	Bezirk Hinterland	6458837
