2657887	Zweisimmen	Zweisimmen	Cvajzimmen,Zweisimmen,Zweisimmeni vald,ci wei xi men,Цвайзиммен,茨韋西門	46.55539	7.37302	P	PPL	CH		BE	248	794		2813		945	Europe/Zurich	2017-02-03
2657897	Zürchersmühle	Zuerchersmuehle	Zurchersmuhle,Zürchersmühle	47.33019	9.29362	P	PPL	CH		AR	1501	3006		0		810	Europe/Zurich	2017-10-27
2657899	Zunzgen	Zunzgen	Cuncgen,Zunzgen,cong ci gen,Цунцген,聰茨根	47.44925	7.80789	P	PPLA3	CH		BL	1304	2869		2632		399	Europe/Zurich	2014-02-02
2657914	Zollbrück	Zollbruck	Zollbruck,Zollbrück	46.97446	7.74376	P	PPL	CH		BE	245	903		0		625	Europe/Zurich	2013-03-05
2657923	Zervreila-Unterboden	Zervreila-Unterboden		46.58333	9.11667	P	PPL	CH		GR	1850	3603		0		2067	Europe/Zurich	2017-07-27
2657929	Zeneggen	Zeneggen	ce nei gen,策內根	46.27341	7.86535	P	PPL	CH		VS	2313	6299		259		1407	Europe/Zurich	2013-02-28
2657933	Zeihen	Zeihen	Cajehn,Cajen,Nieder-Zeihen,Zeihen,cai heng,Цайен,Цайэн,蔡亨	47.47633	8.08506	P	PPL	CH		AG	1906	4183		993		447	Europe/Zurich	2017-10-04
2657939	Yvorne	Yvorne		46.33122	6.95872	P	PPL	CH		VD	2221	5415		885		436	Europe/Zurich	2013-02-27
2657944	Wynigen	Wynigen	Vinigen,Wynigen,wei ni gen,Виниген,維尼根	47.10586	7.66681	P	PPL	CH		BE	245	424		2090		532	Europe/Zurich	2013-02-28
2657947	Würenlos	Wurenlos	Vjurenlos,Wurenlos,Würenlos,wei lun luo si,Вюренлос,維倫洛斯	47.44205	8.36261	P	PPL	CH		AG	1902	4048		5497		407	Europe/Zurich	2017-11-07
2657956	Wolhusen	Wolhusen	Vol'khuzen,Wolhusen,wo hu sen,Вольхузен,沃胡森	47.05983	8.07389	P	PPL	CH		LU	316	1009		4050		586	Europe/Zurich	2014-03-29
2657959	Wölflinswil	Woelflinswil	Vjol'flinsvil',Wolflinswil,Wölflinswil,wei fu lin si wei er,Вёльфлинсвиль,韋夫林斯維爾	47.4607	7.99835	P	PPLA3	CH		AG	1906	4182		910		440	Europe/Zurich	2013-07-03
2657965	Witzwil	Witzwil		46.98792	7.06026	S	PRN	CH		BE	243	496		200		433	Europe/Zurich	2017-01-06
2657966	Wity	Wity	Wity,Wyte,Wyti	46.74914	9.83446	P	PPL	CH		GR	1849	3851		0		1694	Europe/Zurich	2017-07-27
2657971	Winklen	Winklen	Winklen	46.60203	7.65195	P	PPL	CH		BE	249	563		0		823	Europe/Zurich	2017-03-04
2657987	Wildhuser-Schafbergwand	Wildhuser-Schafbergwand	Schafbergwand,Wildhuser-Schofbergwand	47.22082	9.35268	T	PK	CH		SG	1727	3359		0	1908	1790	Europe/Zurich	2012-04-21
2658027	Weisshorn	Weisshorn	Massela de Compothanna,Massela de Compôthanna,Vajsgorn,Vajskhorn,Weisshorn,baiseuholeun,bha'isaharna,fyshwrn,jbl fyshwrn,vaishorni,vuaisuhorun,wayshwrn,wei si feng,wyshwrn,Вайсгорн,Вайсхорн,ויסהורן,جبل فيشورن,فيشورن,وایسهورن,ویسہارن,ভাইসহর্ন,ვაისჰორნი,ヴァイスホルン,魏斯峰,바이스호른	46.10125	7.71607	T	MT	CH		VS	2311	6252		0	4505	4404	Europe/Zurich	2019-02-13
2658038	Weggis	Weggis	Veggis,Weggis,vueggisu,wei ji si,Веггис,ヴェッギス,韋吉斯	47.03208	8.43219	P	PPL	CH		LU	312	1069		3863		439	Europe/Zurich	2014-04-04
2658040	Weesen	Weesen	Vezen,wei sen,wysn,Везен,ویسن,韋森	47.13447	9.09644	P	PPL	CH		SG	1726	3316		1402	420	424	Europe/Zurich	2013-04-02
2658052	Wangen an der Aare	Wangen an der Aare	Vangen-na-Are,Wangen,Wangen an der Aare,Wangen ce Aro,Wangen ĉe Aro,a lei he pan wang gen,wazhan an dr ar,Ванген-на-Аре,واژان آن در ار,阿勒河畔旺根	47.23208	7.65253	P	PPL	CH		BE	244	992		1944		421	Europe/Zurich	2019-09-11
2658057	Walterswil	Walterswil	Val'tersvil',Walterswil BE,Walterswil i Bern,wa er te si wei er,Вальтерсвиль,瓦爾特斯維爾	47.1122	7.77798	P	PPL	CH		BE	244	959		639		667	Europe/Zurich	2013-03-01
2658058	Waltenschwil	Waltenschwil	Val'tenshvil',Waltenschwil,wa teng shi wei er,Вальтеншвиль,瓦滕施維爾	47.33339	8.29791	P	PPL	CH		AG	1908	4240		2192		425	Europe/Zurich	2017-12-07
2658086	Vullierens	Vullierens	wei li lang,维利朗	46.57397	6.48193	P	PPL	CH		VD	2227	5654		402		533	Europe/Zurich	2013-02-19
2658093	Vouvry	Vouvry	Vouvry,wu fu li,武夫里	46.33746	6.8895	P	PPL	CH		VS	2308	6159		3296		399	Europe/Zurich	2016-08-03
2658094	Vor Siez	Vor Siez		46.97697	9.30079	P	PPL	CH		SG	1725	3293		0		1188	Europe/Zurich	2017-12-23
2658098	Vorderrhein	Vorderrhein	Rein Anteriur,Vorderrhein	46.82366	9.40769	H	STM	CH		00				0		586	Europe/Zurich	2012-01-17
2658104	Bündner Vorab	Buendner Vorab	Buendner Vorab,Bündner Vorab,Vorab,bwndnyr fwrab,jbl bwndnyr fwrab,wo la bu shan,Вораб,بوندنير فوراب,جبل بوندنير فوراب,沃拉布山	46.87392	9.15678	T	MT	CH		GR	1850	3575		0	3026	2998	Europe/Zurich	2019-02-13
2658114	Vira	Vira	Vira (Gambarogno),wyra,ویرا	46.14327	8.84202	P	PPL	CH		TI	2104	5398		646		212	Europe/Zurich	2017-12-23
2658123	Villeneuve	Villeneuve	Vil'njov,Villeneuve,Villeneuve VD,Villeneuve i Vaud,Viln'ov,vilnevi,wei lei ne wo,wynw  ww,Вилньов,Вильнёв,وینو، وو,ვილნევი,维勒讷沃	46.39869	6.92654	P	PPL	CH		VD	2221	5414		4349		376	Europe/Zurich	2013-02-27
2658126	Villars-sur-Ollon	Villars-sur-Ollon	Vijjar-sjur-Olon,Vilar sur Oljonas,Villar,Villar-sjur-Olon,Villars,Villars / Ollon,ZLA,Вийяр-сюр-Олон,Виллар,Виллар-сюр-Олон,וילאר-סור-אולון	46.29832	7.05631	P	PPL	CH		VD	2221	5409		2500	1250	1273	Europe/Zurich	2017-05-09
2658139	Viano	Viano	Viano	46.25333	10.13941	P	PPL	CH		GR	1842	3551		0		1275	Europe/Zurich	2017-07-27
2658173	Veltheim	Veltheim		47.43796	8.14722	P	PPL	CH		AG	1904	4120		1374		376	Europe/Zurich	2013-03-01
2658174	Mont Vélan	Mont Velan	Mont Velan,Mont Velàn,Mont Vélan,Monte Velan,Monte Vélan,Velan,Vélan,jbl mwnt fylan,kwh wylan,mon-velani,mongbellang,mont Velan,mont Vélan,mwnt fylan,wei lan shan,جبل مونت فيلان,مونت فيلان,مونٹ ویلن,کوه ویلان,მონ-ველანი,韋蘭山,몽벨랑	45.89174	7.25167	T	MT	CH		00				0	3725	3716	Europe/Zurich	2019-02-13
2658175	Vedeggio	Vedeggio	Vedeggio,Vedeggio River	45.99486	8.90766	H	STM	CH		00				0		273	Europe/Zurich	2021-02-01
2658181	Vauderens	Vauderens		46.62283	6.85066	P	PPL	CH		FR	1002	2102		0		754	Europe/Zurich	2010-04-05
2658208	Vacallo	Vacallo	Vacal,Vacallo,wa ka luo,瓦卡洛	45.84466	9.03335	P	PPL	CH		TI	2106	5268		0		304	Europe/Zurich	2016-04-10
2658210	Uznach	Uznach	Ucnakh,Uznach,awznk,wu ci na he,Уцнах,اوزنک,烏茨納赫	47.22421	8.98263	P	PPL	CH		SG	1726	3339		5561		411	Europe/Zurich	2019-09-10
2658230	Wetzikon / Unter-Wetzikon	Wetzikon / Unter-Wetzikon	Unter-Wetzikon	47.31637	8.79369	P	PPLX	CH		ZH	105	121		2521		532	Europe/Zurich	2006-10-21
2658245	Unter Lauchbühl	Unter Lauchbuhl		46.64242	8.08401	P	PPL	CH		BE	250	576		0		1484	Europe/Zurich	2017-12-23
2658265	Unteraargletscher	Unteraargletscher	Unteraargletscher	46.56686	8.21305	H	GLCR	CH		BE				0		2230	Europe/Zurich	2019-01-09
2658266	Undervelier	Undervelier	Undervelier,an de wei li ye,安德韋利耶	47.30261	7.22472	P	PPL	CH		JU	2601	6729		328		537	Europe/Zurich	2017-12-07
2658268	Ulrichen	Ulrichen	Ulrichen	46.50536	8.30959	P	PPL	CH		VS	2304	6076		246	1346	1347	Europe/Zurich	2017-07-27
2658270	Uina Dadora	Uina Dadora		46.7906	10.38563	P	PPL	CH		GR	1843	3762		0		1499	Europe/Zurich	2017-07-27
2658284	Twann	Twann	Douanne,Tvan,Тван	47.0942	7.15699	P	PPL	CH		BE	242	756		845		432	Europe/Zurich	2013-02-27
2658299	Trun	Trun	Taurontum,Trun,Trun GR,Truns,te lun,tourun,Трун,トゥルン,特倫	46.74292	8.98716	P	PPL	CH		GR	1850	3987		1243		871	Europe/Zurich	2017-07-27
2658309	Trin	Trin	Trin,Trins,Trins Dorf	46.82834	9.36164	P	PPL	CH		GR	1844	3734		0		873	Europe/Zurich	2017-07-27
2658320	Tretsch	Tretsch		46.96667	9.55	P	PPL	CH		GR	1845	3947		0		519	Europe/Zurich	2017-07-27
2658321	Valle Tresa	Valle Tresa	Taler der Tresa,Täler der Tresa,Valle Tresa,Valle della Tresa	45.96667	8.8	T	VAL	CH		00				0		824	Europe/Zurich	2012-01-17
2658329	Trasadingen	Trasadingen		47.66862	8.42995	P	PPL	CH		SH	1406	2973		558		410	Europe/Zurich	2013-03-28
2658331	Tramelan	Tramelan	Tramelan,Tramlan,te la mei lan,Трамлан,特拉梅蘭	47.22298	7.10287	P	PPL	CH		BE	241	446		4186	900	904	Europe/Zurich	2019-10-30
2658340	Tössegg	Tossegg		47.43709	8.83802	P	PPLL	CH		ZH	108	182		16		610	Europe/Zurich	2006-10-05
2658350	Törbel	Torbel	Torbel,Törbel,te bo er,特伯爾	46.23837	7.85239	P	PPL	CH		VS	2313	6296		511		1547	Europe/Zurich	2016-08-03
2658355	Tobel	Tobel		47.51503	9.03355	P	PPL	CH		TG	2014	4776		0		527	Europe/Zurich	2013-04-02
2658361	Tinzen	Tinzen	Tinizong,Tinizung,Tinzen	46.58241	9.61732	P	PPL	CH		GR	1841	3543		0		1241	Europe/Zurich	2017-07-27
2658365	Tiefencastel	Tiefencastel	Castellum Impitinis,Casti,Tiefencastel,Tifenkastel',di fen ka si te er,Тифенкастель,蒂芬卡斯特爾	46.66014	9.57883	P	PPLA2	CH		GR	1841	3542		244		891	Europe/Zurich	2017-07-27
2658369	Fiume Ticino	Fiume Ticino	Fiume Ticino,River Ticino,Ticino,Ticino River,Ticinus	45.15	9.23333	H	STM	CH		00				0		54	Europe/Rome	2022-10-27
2658375	Thunersee	Thunersee	Danau Thun,Lac de Thoune,Lago de Thun,Lago di Thun,Lake Thun,Lake of Thoune,Llac de Thun,Meer van Thun,Thunersee,Thuni jaerv,Thuni järv,Thunske jezero,Thunské jezero,Tunas ezers,Tūnas ezers,toun hu,トゥーン湖	46.69228	7.72085	H	LK	CH		BE				0		558	Europe/Zurich	2019-01-09
2658383	Thielle-Wavre	Thielle-Wavre	Thielle,Thielle-Wavre	47.02154	7.02921	P	PPL	CH		NE	2404	6451		0		435	Europe/Zurich	2021-04-30
2658384	Thièle	Thiele	La Thiele,La Thielle,La Thièle,Thiele,Thielle,Thièle	46.7899	6.64485	H	STM	CH		VD				0		422	Europe/Zurich	2015-09-26
2658395	Teufenthal	Teufenthal	Teufental,Teufenthal,Tojfental',tuo yi fen ta er,Тойфенталь,托伊芬塔爾	47.32896	8.11777	P	PPL	CH		AG	1905	4145		1665		448	Europe/Zurich	2017-12-07
2658405	Tenna	Tenna	Tenna,Tenna GR,Tenna i Sveits,teng na,Тенна,滕納	46.74766	9.33952	P	PPL	CH		GR	1850	3672		91		1659	Europe/Zurich	2017-07-27
